provider_place_id,name,longitude,latitude,street,region,city,operator_name,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typcn_count,typcndc_count,station_name,district,p_ingestday,Is_DC,Is_AC,Is_Mixed,Faulty_Station,station_type,brand_power_combination,station_type_str,dist_to_hotel_km
MA04D0DUX_000000000070,快充 太空充电,104.058466,30.536966,高新区天府五街999号港汇天地停车场负三层C区,四川省,成都市,太空充电,8,0,180.0,240.0,750.0,,,,,8.0,白羊座行星超能舱（成都港汇天地）,武侯区,2025-08-30,True,False,False,False,High power charging,太空充电 - High power charging,High power charging,5.128129291386828
625911998_386915,快充 壳牌充电,104.018041,30.569124,大同路二段255号白家新能源汽车产业园,四川省,成都市,壳牌充电,34,0,120.0,,750.0,,,,,34.0,延长壳牌双流白家大市场充电站,双流区,2025-08-30,True,False,False,False,Ultra fast charging,壳牌充电 - Ultra fast charging,Ultra fast charging,4.090894425268652
MA04D0DUX_000000000165,慢充 太空充电,103.997993,30.571843,黄河中路二段和江东路交汇处,四川省,成都市,太空充电,0,37,,,,7.0,32.0,220.0,37.0,,双鱼座卫星超能舱（成都双流茂业广场）,双流区,2025-08-30,False,True,False,False,Slow AC,太空充电 - Slow AC,Slow AC,5.839609499025696
MA6DFCTD5_12,快充 小华充电,104.037577,30.619383,肖家河街道科园三路4号1栋火炬时代,四川省,成都市,小华充电,18,0,160.0,250.0,1000.0,,,,,18.0,小华充电火炬时代充电站,武侯区,2025-08-30,True,False,False,False,High power charging,小华充电 - High power charging,High power charging,4.467891272934883
MA020EMFX_51010702042001,快充 达克云,104.039621,30.61971,九兴大道3号,四川省,成都市,达克云,12,0,120.0,250.0,750.0,,,,,12.0,高新区九兴大道充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,达克云 - Ultra fast charging,Ultra fast charging,4.421103436981267
625911998_380866,快充 壳牌充电,104.030551,30.624344,长益路7号车海洋自助洗车,四川省,成都市,壳牌充电,36,0,180.0,,1000.0,,,,,36.0,延长壳牌武侯长益路充电站,武侯区,2025-08-30,True,False,False,False,High power charging,壳牌充电 - High power charging,High power charging,5.267527361284646
313744932_384126,快充 星星充电,104.066332,30.628048,玉林街道国嘉·美领居华宇·蓉国府,四川省,成都市,星星充电,20,0,120.0,,750.0,,,,,20.0,卓安华宇蓉国府充电站,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,星星充电 - Ultra fast charging,Ultra fast charging,5.070109988475418
MA002TMQX_510107MA002TMQX0019,快充 国家电网,104.074679,30.615079,棕树北街31号,四川省,成都市,国家电网,8,0,180.0,240.0,500.0,,,,,8.0,四川省成都市武侯区棕树桥充电站,武侯区,2025-08-30,True,False,False,False,High power charging,国家电网 - High power charging,High power charging,3.91666036158061
MABUL2CU6_1725010083252928514,快充 广汽能源,104.065683,30.602361,桂溪街道苏宁超市(苏宁广场店)苏宁广场负二楼011车位,四川省,成都市,广汽能源,6,0,360.0,250.0,1000.0,,,,,6.0,昊铂成都苏宁广场超充站,武侯区,2025-08-30,True,False,False,False,High power charging,广汽能源 - High power charging,High power charging,2.280140029919547
MA1MY0GF9_106100,快充 云快充,104.092675,30.582717,锦华路三段521号锦美充电站,四川省,成都市,云快充,38,0,160.0,250.0,750.0,,,,,38.0,锦美充电站,锦江区,2025-08-30,True,False,False,False,High power charging,云快充 - High power charging,High power charging,3.359784829196648
niokdzzjs_NIO7341fe1949ebd1df,快充 蔚来,104.108676,30.563265,中和湿地公园东(朝阳横街北),四川省,成都市,蔚来,26,0,150.0,250.0,1000.0,,,,,26.0,成都中和湿地公园 蔚来超充站,双流区,2025-08-30,True,False,False,False,High power charging,蔚来 - High power charging,High power charging,5.364984647646082
MA6ARPET9_5101120009,快充 蜀道新能源,104.198739,30.529781,经济技术开发区（龙泉驿区）南四路323号,四川省,成都市,蜀道新能源,20,0,180.0,250.0,1000.0,,,,,20.0,成渝电走廊暨换电重卡龙泉项目配套充电站,龙泉驿区,2025-08-30,True,False,False,False,High power charging,蜀道新能源 - High power charging,High power charging,14.758586438894314
niokdzzjs_NIObdbbfac7efdb3f7c,快充 蔚来,104.108826,30.632685,双桂路街道汇泉东路86号四川省成都市七中育才学校,四川省,成都市,蔚来,18,0,120.0,250.0,1000.0,,,,,18.0,成都汇泉东路 蔚来超充站,锦江区,2025-08-30,True,False,False,False,Ultra fast charging,蔚来 - Ultra fast charging,Ultra fast charging,7.381036244092872
MA59G0765_86031,快充 蔚景云,104.087462,30.647554,锦官驿街道时代8号(东大街芷泉段),四川省,成都市,蔚景云,48,0,250.0,320.0,750.0,,,,,48.0,成都时代8号无诤极速充,锦江区,2025-08-30,True,False,False,False,High power charging,蔚景云 - High power charging,High power charging,7.718652200293764
MABUL2CU6_1698872112812523521,快充 广汽能源,104.079598,30.658311,王府井百货(总府路店)负二楼停车场,四川省,成都市,广汽能源,4,0,120.0,250.0,1000.0,,,,,4.0,昊铂成都王府井百货总府路店超充站,锦江区,2025-08-30,True,False,False,False,Ultra fast charging,广汽能源 - Ultra fast charging,Ultra fast charging,8.62677640816156
MA6ARPET9_5101070006,快充 蜀道新能源,104.003824,30.651658,晋阳路,四川省,成都市,蜀道新能源,20,0,120.0,250.0,1000.0,,,,,20.0,万贯商城充电站项目,武侯区,2025-08-30,True,False,False,False,Ultra fast charging,蜀道新能源 - Ultra fast charging,Ultra fast charging,9.198572592039662
MABTWT5Y0_7172,快充 能银链,103.948746,30.733626,合作街道新创路28号四川金网通电子科技有限公司(西源大道),四川省,成都市,能银链,40,0,600.0,600.0,1000.0,,,,,40.0,AI快充成都高新西区金网通充电站,郫都区,2025-08-30,True,False,False,False,High power charging,能银链 - High power charging,High power charging,19.713128330400185
MA6DFCTD5_5,快充 小华充电,104.046787,30.761613,云快充汽车充电站(小华高堆路充电站),四川省,成都市,小华充电,26,0,120.0,250.0,750.0,,,,,26.0,小华充电高堆路充电站,新都区,2025-08-30,True,False,False,False,Ultra fast charging,小华充电 - Ultra fast charging,Ultra fast charging,19.87903119811812
MA020EMFX_51011400659003,快充 达克云,104.12615,30.79829,物流大道西端30号,四川省,成都市,达克云,30,0,160.0,160.0,1000.0,,,,,30.0,【AI快充】四川新都兴跃物流充电站,新都区,2025-08-30,True,False,False,False,High power charging,达克云 - High power charging,High power charging,24.812493240288408
MA5DLDKY3_1674,快充 润诚达,104.265425,30.882726,四川省成都市青白江区凤祥大道,四川省,成都市,润诚达,20,0,120.0,100.0,1000.0,,,,,20.0,蓝电快充运贸充电站,青白江区,2025-08-30,True,False,False,False,Ultra fast charging,润诚达 - Ultra fast charging,Ultra fast charging,38.79200735876684
MA002TMQX_510116MA002TMQX0011,快充 国家电网,103.973934,30.552121,西航港物流大道866号,四川省,成都市,国家电网,8,0,120.0,250.0,750.0,,,,,8.0,国网成都双流西航港物流大道城市公共直流站,双流区,2025-08-30,True,False,False,False,Ultra fast charging,国家电网 - Ultra fast charging,Ultra fast charging,8.7169140644151
MA020EMFX_51011602210011,慢充 达克云,104.087735,30.231394,眉山市仁寿县环天府新区快速通道与环天中路交叉口东北方向245米,四川省,成都市,达克云,0,17,,,,7.0,32.0,220.0,17.0,,中兢锦绣天城充电站1,仁寿县,2025-08-30,False,True,False,False,Slow AC,达克云 - Slow AC,Slow AC,39.2123115831847
MACYCXCNX_7039944A64B64ADFA6979325144A9E84,快充 愉秒充,104.407791,30.316427,锦上宾馆东南100米地面停车场(简三路东),四川省,成都市,愉秒充,10,0,120.0,250.0,1000.0,,,,,10.0,愉秒充成都简阳龙湾充电站,简阳市,2025-08-30,True,False,False,False,Ultra fast charging,愉秒充 - Ultra fast charging,Ultra fast charging,44.78976641807911
MA6ABC9W9_568,快充 太能充,103.483068,30.526396,"-成都市-大邑县,镇S8成名高速辅路中国石油加油站",四川省,成都市,太能充,6,0,60.0,80.0,60.0,,,,,6.0,大邑县铭奇快速充电站,大邑县,2025-08-30,True,False,False,False,Fast charging,太能充 - Fast charging,Fast charging,55.372188436911976
MABTWT5Y0_7082_hccn,快充 能银链,103.629079,31.005807,灌口街道四川旅投·锦弘国堰宾馆,四川省,成都市,能银链,12,0,120.0,250.0,1000.0,,,,,12.0,国堰宾馆充电站,都江堰市,2025-08-30,True,False,False,False,Ultra fast charging,能银链 - Ultra fast charging,Ultra fast charging,62.32739771071437
